Barnstable 502
Berkshire 355
Bristol 1394
Dukes 12
Essex 3413
Franklin 148
Hampden 1694
Hampshire 224
Middlesex 5983
Nantucket 9
Norfolk 2838
Plymouth 2141
Suffolk 5579
Worcester 2128
Unknown 447
